[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[USER] East part of town.  [SYSTEM] I'm sorry, there are no vegetarian restaurants in the east part of town. [END]
[SYSTEM] I'm sorry, there are no vegetarian restaurants in the east part of town.  [USER] Is there an indian restaurant in the east part of town? [END]
[USER] Is there an indian restaurant in the east part of town?  [SYSTEM] Yes, there are four Indian restaurants in the east part of town. What price range would you like? [END]
[USER] I would like a cheap restaurant in the north part of town  [SYSTEM] There are two cheap restaurants in the north part of town. Would you prefer italian or indian? [END]
[SYSTEM] There are two cheap restaurants in the north part of town. Would you prefer italian or indian?  [USER] I don't care. [END]
[USER] I don't care.  [SYSTEM] I suggest Da Vinci Pizzeria. They serve great Italian food. Would you like their contact information? [END]
[SYSTEM] I suggest Da Vinci Pizzeria. They serve great Italian food. Would you like their contact information?  [USER] What is the address? [END]
[USER] What is the address?  [SYSTEM] The address for Da Vinci Pizzeria is 20 Milton Road Chesterton. Would you like any additional information? [END]
[SYSTEM] The address for Da Vinci Pizzeria is 20 Milton Road Chesterton. Would you like any additional information?  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] You're welcome and thanks for your call today! Bye bye. [END]
[USER] I'm looking for an upscale, expensive place to eat on the west side of town.  [SYSTEM] What type of food are you looking for? [END]
[SYSTEM] What type of food are you looking for?  [USER] I'm really in the mood for Jamaican food. [END]
[USER] I'm really in the mood for Jamaican food.  [SYSTEM] I'm sorry. There are no restaurants matching your criteria. [END]
[SYSTEM] I'm sorry. There are no restaurants matching your criteria.  [USER] How about some indian food? [END]
[USER] How about some indian food?  [SYSTEM] Okay now I have many options would you like a reservation at one of them? [END]
[SYSTEM] Okay now I have many options would you like a reservation at one of them?  [USER] I would. Can you book me a table for 1 on Tuesday at 11:45? [END]
[USER] I would. Can you book me a table for 1 on Tuesday at 11:45?  [SYSTEM] I'm sorry, all 5 restaurants meeting your criteria are booked at this time. Would you like me to try a different time slot? [END]
[SYSTEM] I'm sorry, all 5 restaurants meeting your criteria are booked at this time. Would you like me to try a different time slot?  [USER] Yes, can you try 10:45? [END]
[USER] Yes, can you try 10:45?  [SYSTEM] I was able to book you a table at Rice Boat on Tuesday at 10:45. The reference number is YTG3EOGF . [END]
[SYSTEM] I was able to book you a table at Rice Boat on Tuesday at 10:45. The reference number is YTG3EOGF .  [USER] Thank you, that's all I need. [END]
[USER] Thank you, that's all I need.  [SYSTEM] Great! Enjoy your meal! Goodbye! [END]
[USER] I would like to find an expensive restaurant in the south part of town.  [SYSTEM] What type of cuisine would you prefer? [END]
[SYSTEM] What type of cuisine would you prefer?  [USER] i dont care. [END]
[USER] i dont care.  [SYSTEM] The chiquito restaurant bar is in the south part of town and is in the expensive price range. Would you like their location? [END]
[SYSTEM] The chiquito restaurant bar is in the south part of town and is in the expensive price range. Would you like their location?  [USER] Are there any others? [END]
[USER] Are there any others?  [SYSTEM] Yes, there is frankie and bennys, italian restaurant in the expensive price range and in south. Do you want the address? [END]
[SYSTEM] Yes, there is frankie and bennys, italian restaurant in the expensive price range and in south. Do you want the address?  [USER] I would like the phone number and postcode, please. [END]
[USER] I would like the phone number and postcode, please.  [SYSTEM] The phone number for frankie and bennys is 01223 412430 and postcode is C.B 1, 7 D.Y [END]
[SYSTEM] The phone number for frankie and bennys is 01223 412430 and postcode is C.B 1, 7 D.Y  [USER] Nope, that'll do it. Thank you very much! [END]
[USER] Nope, that'll do it. Thank you very much!  [SYSTEM] Thank you for using our system. Good bye [END]
[USER] Can you help me find somewhere to eat in the centre?  [SYSTEM] Sure! Are you looking for any particular type of food such as African, British, Chinese, etc? [END]
[SYSTEM] Sure! Are you looking for any particular type of food such as African, British, Chinese, etc?  [USER] No type of food but I'd like it to be in the moderate range please [END]
[USER] No type of food but I'd like it to be in the moderate range please  [SYSTEM] Great, I have Yippee Noodle Bar that meets your criteria. Would you like me to make a reservation for you? [END]
[SYSTEM] Great, I have Yippee Noodle Bar that meets your criteria. Would you like me to make a reservation for you?  [USER] Yes. There are five of us for Monday at 19:45, please. [END]
[USER] Yes. There are five of us for Monday at 19:45, please.  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : SOPGGCUP . [END]
[SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : SOPGGCUP .  [USER] thank you for your help [END]
[USER] thank you for your help  [SYSTEM] You are more than welcome! [END]
[SYSTEM] You are more than welcome!  [USER] Great TownInfo service. Goodbye. [END]
[USER] Great TownInfo service. Goodbye.  [SYSTEM] You're more than welcome. Have a great day. [END]
[USER] I am looking for a cheap restaurant in the east part of town.  [SYSTEM] The missing sock is located in the east part of town and in the cheap price range. [END]
[SYSTEM] The missing sock is located in the east part of town and in the cheap price range.  [USER] could i have the phone number and address please? [END]
[USER] could i have the phone number and address please?  [SYSTEM] The phone number is 01223 812660 and the address is Finders Corner Newmarket Road. [END]
[SYSTEM] The phone number is 01223 812660 and the address is Finders Corner Newmarket Road.  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] Glad to help. Goodbye. [END]
[USER] Yes, I'd like some help looking for a particular restaurant. The name of the restaurant is Darrys Cookhouse and Wine Shop. I'd like to know where it's located and how expensive.  [SYSTEM] Certainly it is in the expensive price range and it is located at 40270 King Street City Center. [END]
[SYSTEM] Certainly it is in the expensive price range and it is located at 40270 King Street City Center.  [USER] Perfect, could you make a reservation for 7 people at 17:00 on Sunday? [END]
[USER] Perfect, could you make a reservation for 7 people at 17:00 on Sunday?  [SYSTEM] Unfortunately there are no reservations available at that time. Would you like me to look for another restaurant? [END]
[SYSTEM] Unfortunately there are no reservations available at that time. Would you like me to look for another restaurant?  [USER] Yes, please look for a different restaurant in the same area and price range as Darrys Cookhouse. [END]
[USER] Yes, please look for a different restaurant in the same area and price range as Darrys Cookhouse.  [SYSTEM] How about Erania. It's a European resturant at Free School Lane City Centre. [END]
[SYSTEM] How about Erania. It's a European resturant at Free School Lane City Centre.  [USER] What is the address,please? [END]
[USER] What is the address,please?  [SYSTEM] Their address is free school lane city centre, would you like me to book that for you? [END]
[SYSTEM] Their address is free school lane city centre, would you like me to book that for you?  [USER] Yes, please book that for the same party and time on Sunday. [END]
[USER] Yes, please book that for the same party and time on Sunday.  [SYSTEM] Thank you. Good-bye [END]
[USER] Can you find me a restaurant that is located in the centre and is in the moderate price range?  [SYSTEM] Of course! There are 21 such restaurants available. Do you have a preference for the type of food? [END]
[SYSTEM] Of course! There are 21 such restaurants available. Do you have a preference for the type of food?  [USER] Yes, Australian, please. [END]
[USER] Yes, Australian, please.  [SYSTEM] I actually do not have knowledge of any moderate Australian restaurants in the centre. There are some British restaurants I could inform you about. [END]
[SYSTEM] I actually do not have knowledge of any moderate Australian restaurants in the centre. There are some British restaurants I could inform you about.  [USER] Actually, could you look up some turkish restaurants instead? [END]
[USER] Actually, could you look up some turkish restaurants instead?  [SYSTEM] There are 2 Turkish restaurants, the Anatolia and Efes Restaurant. Would you like me to make a reservation at one of them for you? [END]
[SYSTEM] There are 2 Turkish restaurants, the Anatolia and Efes Restaurant. Would you like me to make a reservation at one of them for you?  [USER] Yes,I need to book a table for 6 people at 17:00 on Sunday, please. [END]
[USER] Yes,I need to book a table for 6 people at 17:00 on Sunday, please.  [SYSTEM] I have made a reservation at Efes Restaurant for 6 people on Sunday at 17:00. The reference number is 8NR6PAIM . Is there anything else I can help you with? [END]
[SYSTEM] I have made a reservation at Efes Restaurant for 6 people on Sunday at 17:00. The reference number is 8NR6PAIM . Is there anything else I can help you with?  [USER] No, that is all, thank you good by. [END]
[USER] No, that is all, thank you good by.  [SYSTEM] Thank you, let me know if you need anything else, bye. [END]
[USER] I'm looking for an expensive Indian restaurant. Can you help me with that?  [SYSTEM] Sure, I can help you with that. There are 14 choices. Did you have a certain area in mind? [END]
